Username,ID,Email,Message
Worm,1,Worm@live.com,"I am bleeding"
Lion,2,Lion@live.com,"I feel pain in my head"
Ghost,3,Ghost@live.com,"I broke my leg"
Test,0,nemanjavuk@live.com,What kind of shampoo do I need?
brormand,4,Mailtester34@yahoo.com,"Hjælp, jeg har ondt i leggen"
brormand,4,Mailtester34@yahoo.com,Jeg hoster blod op
Test,0,nemanjavuk@live.com,Test</h1><script>alert(1)</script>
Test,0,nemanjavuk@live.com,<script>alert(5)</script>
Saad,5,logoiticbusiness@gmail.com,"Hej, min arm gør ondt fordi damerne i byen ikke kan lade mig være"
Saad,5,logoiticbusiness@gmail.com,Jeg har hovedepine. Hjælp!
